% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
23	1	11	1	0	0	19	0	1	0
23	2	11	1	0	0	19	0	1	1
24	1	11	1	0	0	19	0	1	0
24	2	11	1	0	0	19	0	1	1
25	1	11	1	0	0	19	0	1	0
25	2	11	1	0	0	19	0	1	1
26	1	11	1	0	0	19	0	1	0
26	2	11	1	0	0	19	0	1	1
27	1	11	1	0	0	19	0	1	0
27	2	11	1	0	0	19	0	1	1
28	1	3	10	0	0	19	0	1	0
28	2	3	10	0	0	19	0	1	1
29	1	11	1	0	28	549	0	1	0
29	2	11	1	0	28	549	0	1	1
30	1	11	1	0	28	549	0	1	0
30	2	11	1	0	28	549	0	1	1
31	1	3	10	0	0	19	0	1	0
31	2	3	10	0	0	19	0	1	1
32	1	11	1	0	28	549	0	1	0
32	2	11	1	0	28	549	0	1	1
33	1	3	10	0	28	549	0	1	0
33	2	3	10	0	28	549	0	1	1
34	1	6	22	0	0	19	0	1	0
34	2	6	22	0	0	19	0	1	1
35	1	3	10	0	28	549	0	1	0
35	2	3	10	0	28	549	0	1	1
36	1	6	22	0	0	19	0	1	0
36	2	6	22	0	0	19	0	1	1
37	1	3	10	0	28	549	0	1	0
37	2	3	10	0	28	549	0	1	1
38	1	11	1	0	28	549	0	1	0
38	2	11	1	0	28	549	0	1	1
39	1	6	22	0	28	549	0	1	0
39	2	6	22	0	28	549	0	1	1
40	1	4	33	0	0	19	0	1	0
40	2	4	33	0	0	19	0	1	1
41	1	6	22	0	28	549	0	1	0
41	2	6	22	0	28	549	0	1	1
42	1	4	33	0	0	19	0	1	0
42	2	4	33	0	0	19	0	1	1
43	1	6	22	0	28	549	0	1	0
43	2	6	22	0	28	549	0	1	1
44	1	3	10	0	28	549	0	1	0
44	2	3	10	0	28	549	0	1	1
45	1	4	33	0	28	549	0	1	0
45	2	4	33	0	28	549	0	1	1
46	1	1	45	0	0	19	0	1	0
46	2	1	45	0	0	19	0	1	1
47	1	4	33	0	28	549	0	1	0
47	2	4	33	0	28	549	0	1	1
48	1	1	45	0	0	19	0	1	0
48	2	1	45	0	0	19	0	1	1
49	1	4	33	0	28	549	0	1	0
49	2	4	33	0	28	549	0	1	1
50	1	6	22	0	28	549	0	1	0
50	2	6	22	0	28	549	0	1	1
51	1	1	45	0	28	549	0	1	0
51	2	1	45	0	28	549	0	1	1
52	1	7	56	0	0	19	0	1	0
52	2	7	56	0	0	19	0	1	1
53	1	1	45	0	28	549	0	1	0
53	2	1	45	0	28	549	0	1	1
54	1	7	56	0	0	19	0	1	0
54	2	7	56	0	0	19	0	1	1
55	1	1	45	0	28	549	0	1	0
55	2	1	45	0	28	549	0	1	1
56	1	4	33	0	28	549	0	1	0
56	2	4	33	0	28	549	0	1	1
57	1	7	56	0	28	549	0	1	0
57	2	7	56	0	28	549	0	1	1
58	1	15	64	0	0	19	0	1	0
58	2	15	64	0	0	19	0	1	1
59	1	7	56	0	28	549	0	1	0
59	2	7	56	0	28	549	0	1	1
60	1	15	64	0	0	19	0	1	0
60	2	15	64	0	0	19	0	1	1
61	1	7	56	0	28	549	0	1	0
61	2	7	56	0	28	549	0	1	1
62	1	1	45	0	28	549	0	1	0
62	2	1	45	0	28	549	0	1	1
63	1	15	64	0	28	549	0	1	0
63	2	15	64	0	28	549	0	1	1
64	1	12	71	0	0	19	0	1	0
64	2	12	71	0	0	19	0	1	1
65	1	15	64	0	28	549	0	1	0
65	2	15	64	0	28	549	0	1	1
66	1	12	71	0	0	19	0	1	0
66	2	12	71	0	0	19	0	1	1
67	1	15	64	0	28	549	0	1	0
67	2	15	64	0	28	549	0	1	1
68	1	7	56	0	28	549	0	1	0
68	2	7	56	0	28	549	0	1	1
69	1	12	71	0	28	549	0	1	0
69	2	12	71	0	28	549	0	1	1
70	1	9	77	0	0	19	0	1	0
70	2	9	77	0	0	19	0	1	1
71	1	12	71	0	28	549	0	1	0
71	2	12	71	0	28	549	0	1	1
72	1	9	77	0	0	19	0	1	0
72	2	9	77	0	0	19	0	1	1
73	1	12	71	0	28	549	0	1	0
73	2	12	71	0	28	549	0	1	1
74	1	11	1	0	28	549	0	1	0
74	2	11	1	0	28	549	0	1	1
75	1	9	77	0	28	549	0	1	0
75	2	9	77	0	28	549	0	1	1
76	1	14	80	0	0	19	0	1	0
76	2	14	80	0	0	19	0	1	1
77	1	9	77	0	28	549	0	1	0
77	2	9	77	0	28	549	0	1	1
78	1	14	80	0	0	19	0	1	0
78	2	14	80	0	0	19	0	1	1
79	1	9	77	0	28	549	0	1	0
79	2	9	77	0	28	549	0	1	1
80	1	15	64	0	28	549	0	1	0
80	2	15	64	0	28	549	0	1	1
81	1	14	80	0	28	549	0	1	0
81	2	14	80	0	28	549	0	1	1
82	1	5	86	0	0	19	0	1	0
82	2	5	86	0	0	19	0	1	1
83	1	14	80	0	28	549	0	1	0
83	2	14	80	0	28	549	0	1	1
84	1	5	86	0	0	19	0	1	0
84	2	5	86	0	0	19	0	1	1
85	1	14	80	0	28	549	0	1	0
85	2	14	80	0	28	549	0	1	1
86	1	3	10	0	28	549	0	1	0
86	2	3	10	0	28	549	0	1	1
87	1	5	86	0	28	549	0	1	0
87	2	5	86	0	28	549	0	1	1
88	1	8	91	0	0	19	0	1	0
88	2	8	91	0	0	19	0	1	1
89	1	5	86	0	28	549	0	1	0
89	2	5	86	0	28	549	0	1	1
90	1	8	91	0	0	19	0	1	0
90	2	8	91	0	0	19	0	1	1
91	1	5	86	0	28	549	0	1	0
91	2	5	86	0	28	549	0	1	1
92	1	12	71	0	28	549	0	1	0
92	2	12	71	0	28	549	0	1	1
93	1	8	91	0	28	549	0	1	0
93	2	8	91	0	28	549	0	1	1
94	1	13	95	0	0	19	0	1	0
94	2	13	95	0	0	19	0	1	1
95	1	8	91	0	28	549	0	1	0
95	2	8	91	0	28	549	0	1	1
96	1	13	95	0	0	19	0	1	0
96	2	13	95	0	0	19	0	1	1
97	1	8	91	0	28	549	0	1	0
97	2	8	91	0	28	549	0	1	1
98	1	6	22	0	28	549	0	1	0
98	2	6	22	0	28	549	0	1	1
99	1	13	95	0	28	549	0	1	0
99	2	13	95	0	28	549	0	1	1
100	1	10	98	0	0	19	0	1	0
100	2	10	98	0	0	19	0	1	1
101	1	13	95	0	28	549	0	1	0
101	2	13	95	0	28	549	0	1	1
102	1	10	98	0	0	19	0	1	0
102	2	10	98	0	0	19	0	1	1
103	1	13	95	0	28	549	0	1	0
103	2	13	95	0	28	549	0	1	1
104	1	9	77	0	28	549	0	1	0
104	2	9	77	0	28	549	0	1	1
105	1	10	98	0	28	549	0	1	0
105	2	10	98	0	28	549	0	1	1
106	1	2	100	0	0	19	0	1	0
106	2	2	100	0	0	19	0	1	1
107	1	10	98	0	28	549	0	1	0
107	2	10	98	0	28	549	0	1	1
108	1	2	100	0	0	19	0	1	0
108	2	2	100	0	0	19	0	1	1
109	1	10	98	0	28	549	0	1	0
109	2	10	98	0	28	549	0	1	1
110	1	4	33	0	28	549	0	1	0
110	2	4	33	0	28	549	0	1	1
111	1	2	100	0	28	549	0	1	0
111	2	2	100	0	28	549	0	1	1
112	1	2	100	0	28	549	0	1	0
112	2	2	100	0	28	549	0	1	1
113	1	2	100	0	28	549	0	1	0
113	2	2	100	0	28	549	0	1	1
114	1	14	80	0	28	549	0	1	0
114	2	14	80	0	28	549	0	1	1
115	1	1	45	0	28	549	0	1	0
115	2	1	45	0	28	549	0	1	1
116	1	5	86	0	28	549	0	1	0
116	2	5	86	0	28	549	0	1	1
117	1	7	56	0	28	549	0	1	0
117	2	7	56	0	28	549	0	1	1
118	1	11	1	0	28	549	0	1	0
118	2	11	1	0	28	549	0	1	1
