% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	11	1	62.3709	0
0.041	2	11	1	62.2741	1
0.046	1	1	45	62.3709	0
0.046	2	1	45	62.2741	1
0.05	1	3	10	62.3709	0
0.05	2	3	10	62.2741	1
0.058	1	7	56	62.3709	0
0.058	2	7	56	62.2741	1
0.062	1	6	22	62.3709	0
0.062	2	6	22	62.2741	1
0.073	1	4	33	62.3709	0
0.073	2	4	33	62.2741	1
0.074	1	15	64	62.3709	0
0.074	2	15	64	62.2741	1
0.075	1	14	80	62.3709	0
0.075	2	14	80	62.2741	1
0.081	1	11	1	62.3709	0
0.081	2	11	1	62.2741	1
0.082	1	12	71	62.3709	0
0.082	2	12	71	62.2741	1
0.083	1	5	86	62.3709	0
0.083	2	5	86	62.2741	1
0.086	1	1	45	62.3709	0
0.086	2	1	45	62.2741	1
0.089	1	9	77	62.3709	0
0.089	2	9	77	62.2741	1
0.09	1	3	10	62.3709	0
0.09	2	3	10	62.2741	1
0.091	1	8	91	62.3709	0
0.091	2	8	91	62.2741	1
0.098	1	7	56	62.3709	0
0.098	2	7	56	62.2741	1
0.102	1	6	22	62.3709	0
0.102	2	6	22	62.2741	1
0.113	1	4	33	62.3709	0
0.113	2	4	33	62.2741	1
0.114	1	15	64	62.3709	0
0.114	2	15	64	62.2741	1
0.115	1	14	80	62.3709	0
0.115	2	14	80	62.2741	1
0.116	1	13	95	62.3709	0
0.116	2	13	95	62.2741	1
0.119	1	10	98	62.3709	0
0.119	2	10	98	62.2741	1
0.121	1	11	1	62.3709	0
0.121	2	11	1	62.2741	1
0.122	1	12	71	62.3709	0
0.122	2	12	71	62.2741	1
0.123	1	5	86	62.3709	0
0.123	2	5	86	62.2741	1
0.124	1	2	100	62.3709	0
0.124	2	2	100	62.2741	1
0.126	1	1	45	62.3709	0
0.126	2	1	45	62.2741	1
0.129	1	9	77	62.3709	0
0.129	2	9	77	62.2741	1
0.13	1	3	10	62.3709	0
0.13	2	3	10	62.2741	1
0.131	1	8	91	62.3709	0
0.131	2	8	91	62.2741	1
0.138	1	7	56	62.3709	0
0.138	2	7	56	62.2741	1
0.142	1	6	22	62.3709	0
0.142	2	6	22	62.2741	1
0.153	1	4	33	62.3709	0
0.153	2	4	33	62.2741	1
0.154	1	15	64	62.3709	0
0.154	2	15	64	62.2741	1
0.155	1	14	80	62.3709	0
0.155	2	14	80	62.2741	1
0.156	1	13	95	62.3709	0
0.156	2	13	95	62.2741	1
0.159	1	10	98	62.3709	0
0.159	2	10	98	62.2741	1
0.161	1	11	1	62.3709	0
0.161	2	11	1	62.2741	1
0.162	1	12	71	62.3709	0
0.162	2	12	71	62.2741	1
0.163	1	5	86	62.3709	0
0.163	2	5	86	62.2741	1
0.164	1	2	100	62.3709	0
0.164	2	2	100	62.2741	1
0.166	1	1	45	62.3709	0
0.166	2	1	45	62.2741	1
0.169	1	9	77	62.3709	0
0.169	2	9	77	62.2741	1
0.17	1	3	10	62.3709	0
0.17	2	3	10	62.2741	1
0.171	1	8	91	62.3709	0
0.171	2	8	91	62.2741	1
0.178	1	7	56	62.3709	0
0.178	2	7	56	62.2741	1
0.182	1	6	22	62.3709	0
0.182	2	6	22	62.2741	1
0.193	1	4	33	62.3709	0
0.193	2	4	33	62.2741	1
0.194	1	15	64	62.3709	0
0.194	2	15	64	62.2741	1
0.195	1	14	80	62.3709	0
0.195	2	14	80	62.2741	1
0.196	1	13	95	62.3709	0
0.196	2	13	95	62.2741	1
0.199	1	10	98	62.3709	0
0.199	2	10	98	62.2741	1
0.201	1	11	1	62.3709	0
0.201	2	11	1	62.2741	1
0.202	1	12	71	62.3709	0
0.202	2	12	71	62.2741	1
0.203	1	5	86	62.3709	0
0.203	2	5	86	62.2741	1
0.204	1	2	100	62.3709	0
0.204	2	2	100	62.2741	1
0.206	1	1	45	62.3709	0
0.206	2	1	45	62.2741	1
0.209	1	9	77	62.3709	0
0.209	2	9	77	62.2741	1
0.21	1	3	10	62.3709	0
0.21	2	3	10	62.2741	1
0.211	1	8	91	62.3709	0
0.211	2	8	91	62.2741	1
0.218	1	7	56	62.3709	0
0.218	2	7	56	62.2741	1
0.222	1	6	22	62.3709	0
0.222	2	6	22	62.2741	1
0.233	1	4	33	62.3709	0
0.233	2	4	33	62.2741	1
0.234	1	15	64	62.3709	0
0.234	2	15	64	62.2741	1
0.235	1	14	80	62.3709	0
0.235	2	14	80	62.2741	1
0.236	1	13	95	62.3709	0
0.236	2	13	95	62.2741	1
0.239	1	10	98	62.3709	0
0.239	2	10	98	62.2741	1
0.241	1	11	1	62.3709	0
0.241	2	11	1	62.2741	1
0.242	1	12	71	62.3709	0
0.242	2	12	71	62.2741	1
0.243	1	5	86	62.3709	0
0.243	2	5	86	62.2741	1
0.244	1	2	100	62.3709	0
0.244	2	2	100	62.2741	1
0.246	1	1	45	62.3709	0
0.246	2	1	45	62.2741	1
0.249	1	9	77	62.3709	0
0.249	2	9	77	62.2741	1
0.25	1	3	10	62.3709	0
0.25	2	3	10	62.2741	1
0.251	1	8	91	62.3709	0
0.251	2	8	91	62.2741	1
0.258	1	7	56	62.3709	0
0.258	2	7	56	62.2741	1
0.262	1	6	22	62.3709	0
0.262	2	6	22	62.2741	1
0.273	1	4	33	62.3709	0
0.273	2	4	33	62.2741	1
0.274	1	15	64	62.3709	0
0.274	2	15	64	62.2741	1
0.275	1	14	80	62.3709	0
0.275	2	14	80	62.2741	1
0.276	1	13	95	62.3709	0
0.276	2	13	95	62.2741	1
0.279	1	10	98	62.3709	0
0.279	2	10	98	62.2741	1
